team_clean,season_start,games_played,wins,losses,win_pct,avg_points_scored,avg_points_allowed,avg_point_differential,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct,avg_efg_pct,avg_fta_rate,avg_oreb_pct,avg_turnover_pct,avg_opp_efg_pct,home_games,home_wins,avg_home_points_scored,avg_home_points_allowed,away_games,away_wins,avg_away_points_scored,avg_away_points_allowed
Atlanta Hawks,2014,105,72,33,0.686,101.76,97.41,4.35,102.32,101.78,0.54,0.5303,0.4907,0.4926,0.2605,0.2484,0.1411,0.4876,52,42,102.19,95.12,53,30,101.34,99.66
Boston Celtics,2014,94,45,49,0.479,100.84,100.53,0.31,99.66,98.25,1.39,0.5237,0.4781,0.4781,0.316,0.2629,0.1703,0.4855,48,24,100.4,98.67,46,21,101.3,102.48
Brooklyn Nets,2014,93,43,50,0.462,98.03,100.86,-2.83,99.54,102.25,-2.7,0.5282,0.4871,0.4931,0.3174,0.2632,0.1649,0.4877,47,23,99.49,101.36,46,20,96.54,100.35
Charlotte Hornets,2014,90,36,54,0.4,94.22,97.4,-3.18,96.71,100.29,-3.58,0.497,0.4465,0.4465,0.2814,0.2516,0.1366,0.4743,45,21,94.6,96.38,45,15,93.84,98.42
Chicago Bulls,2014,102,60,42,0.588,100.04,97.07,2.97,103.09,100.76,2.34,0.5218,0.4733,0.4726,0.3269,0.3154,0.1678,0.4574,52,33,100.1,96.38,50,27,99.98,97.78
Cleveland Cavaliers,2014,108,71,37,0.657,102.44,98.19,4.26,107.84,103.78,4.06,0.5351,0.4903,0.4874,0.3211,0.328,0.1437,0.4729,55,41,103.22,96.64,53,30,101.64,99.79
Dallas Mavericks,2014,95,55,40,0.579,105.39,102.85,2.54,106.74,106.42,0.3,0.5447,0.504,0.4985,0.3177,0.3133,0.1572,0.5001,47,30,107.45,103.55,48,25,103.38,102.17
Denver Nuggets,2014,90,32,58,0.356,101.11,104.73,-3.62,98.74,103.34,-4.61,0.521,0.478,0.4749,0.3884,0.3071,0.1663,0.4703,43,20,103.72,103.53,47,12,98.72,105.83
Detroit Pistons,2014,89,37,52,0.416,98.6,99.16,-0.56,100.11,96.29,3.84,0.5286,0.4904,0.4904,0.3684,0.2754,0.1667,0.4684,44,21,101.45,100.64,45,16,95.8,97.71
Golden State Warriors,2014,111,89,22,0.802,108.76,99.03,9.73,108.04,98.75,9.29,0.5678,0.5378,0.5315,0.3152,0.2708,0.1572,0.4608,55,51,110.98,98.09,56,38,106.57,99.95
Houston Rockets,2014,107,71,36,0.664,104.1,101.68,2.42,103.88,104.82,-0.92,0.5332,0.4935,0.4852,0.4117,0.3117,0.1678,0.5068,54,41,104.31,98.76,53,30,103.89,104.66
Indiana Pacers,2014,89,41,48,0.461,97.11,96.93,0.18,98.63,100.43,-1.81,0.534,0.4839,0.4839,0.3577,0.2257,0.1717,0.4727,44,25,98.41,95.55,45,16,95.84,98.29
Los Angeles Clippers,2014,104,65,39,0.625,106.3,101.58,4.72,104.65,107.14,-2.51,0.5406,0.5051,0.4891,0.3828,0.2439,0.1293,0.5259,53,36,106.08,99.45,51,29,106.53,103.78
Los Angeles Lakers,2014,90,24,66,0.267,98.1,105.2,-7.1,96.85,107.17,-10.31,0.504,0.4597,0.4597,0.3035,0.2814,0.1622,0.5306,49,15,97.9,103.86,41,9,98.34,106.8
Memphis Grizzlies,2014,100,63,37,0.63,97.77,95.6,2.17,100.85,103.82,-2.98,0.5098,0.4605,0.459,0.3098,0.2825,0.1411,0.5085,50,37,98.78,93.26,50,26,96.76,97.94
Miami Heat,2014,90,41,49,0.456,95.48,97.92,-2.44,105.29,106.1,-0.8,0.5709,0.523,0.512,0.4019,0.277,0.1646,0.5291,47,22,97.53,98.77,43,19,93.23,97.0
Milwaukee Bucks,2014,95,46,49,0.484,97.06,97.71,-0.64,95.35,102.6,-7.25,0.4945,0.4532,0.4613,0.3056,0.2969,0.1711,0.4706,47,25,96.53,96.83,48,21,97.58,98.56
Minnesota Timberwolves,2014,89,21,68,0.236,98.45,106.08,-7.63,107.06,100.04,7.03,0.5399,0.4899,0.4765,0.3278,0.3193,0.1435,0.494,44,11,97.73,103.98,45,10,99.16,108.13
New Orleans Pelicans,2014,93,50,43,0.538,99.32,98.31,1.01,103.2,100.72,2.51,0.5443,0.4965,0.473,0.2757,0.2839,0.1387,0.4807,47,31,102.11,97.79,46,19,96.48,98.85
New York Knicks,2014,89,20,69,0.225,91.76,100.52,-8.75,96.71,99.26,-2.51,0.514,0.4684,0.4732,0.223,0.3148,0.1686,0.5176,44,11,91.73,99.61,45,9,91.8,101.4
Oklahoma City Thunder,2014,89,47,42,0.528,103.61,102.48,1.12,99.77,111.6,-11.83,0.52,0.4696,0.4696,0.3847,0.3,0.1787,0.5339,45,30,106.09,100.62,44,17,101.07,104.39
Orlando Magic,2014,89,28,61,0.315,95.64,101.1,-5.46,95.5,97.64,-2.14,0.5066,0.4763,0.4733,0.2423,0.292,0.1922,0.4665,44,14,96.82,102.0,45,14,94.49,100.22
Philadelphia 76ers,2014,90,20,70,0.222,92.11,100.79,-8.68,92.65,97.66,-5.03,0.5105,0.4669,0.4669,0.3718,0.2675,0.208,0.476,45,14,94.98,99.62,45,6,89.24,101.96
Phoenix Suns,2014,88,43,45,0.489,102.63,102.97,-0.34,103.25,95.72,7.53,0.5515,0.503,0.5108,0.3722,0.269,0.1864,0.4912,43,24,102.95,101.05,45,19,102.31,104.8
Portland Trail Blazers,2014,93,55,38,0.591,101.86,98.47,3.39,99.47,102.77,-3.3,0.5265,0.4769,0.4765,0.2842,0.2603,0.1655,0.4795,45,34,104.44,96.8,48,21,99.44,100.04
Sacramento Kings,2014,88,31,57,0.352,101.38,105.03,-3.66,103.7,106.43,-2.7,0.5628,0.5073,0.506,0.5284,0.31,0.1832,0.5208,43,19,101.49,102.28,45,12,101.27,107.67
San Antonio Spurs,2014,94,59,35,0.628,103.01,98.06,4.95,105.06,107.81,-2.75,0.5492,0.5064,0.5026,0.3336,0.2678,0.1709,0.5231,47,35,106.94,98.45,47,24,99.09,97.68
Toronto Raptors,2014,93,55,38,0.591,103.2,100.72,2.48,100.45,102.81,-2.37,0.5267,0.4857,0.469,0.3258,0.2637,0.1616,0.5029,46,30,102.2,98.39,47,25,104.19,103.0
Utah Jazz,2014,90,43,47,0.478,95.73,94.79,0.94,103.1,94.69,8.41,0.5605,0.5185,0.5106,0.4074,0.302,0.1996,0.4489,44,23,96.41,93.07,46,20,95.09,96.43
Washington Wizards,2014,99,55,44,0.556,98.15,97.35,0.8,100.64,99.49,1.13,0.5296,0.4881,0.4763,0.3288,0.2884,0.176,0.4832,49,33,101.67,96.22,50,22,94.7,98.46
Atlanta Hawks,2015,99,56,43,0.566,101.88,99.04,2.84,99.32,100.39,-1.07,0.5304,0.4844,0.4755,0.2876,0.2478,0.159,0.4749,49,31,102.61,96.96,50,25,101.16,101.08
Boston Celtics,2015,93,54,39,0.581,104.59,101.83,2.76,96.34,97.2,-0.88,0.4909,0.4553,0.454,0.2594,0.2808,0.1524,0.4502,47,33,105.23,99.51,46,21,103.93,104.2
Brooklyn Nets,2015,87,23,64,0.264,98.61,105.55,-6.94,98.14,98.54,-0.4,0.5318,0.465,0.465,0.374,0.2736,0.1878,0.49,43,15,98.91,103.81,44,8,98.32,107.25
Charlotte Hornets,2015,97,58,39,0.598,102.08,99.62,2.46,99.99,99.32,0.68,0.5157,0.4589,0.4574,0.3458,0.217,0.1233,0.4801,47,35,104.17,97.83,50,23,100.12,101.3
Chicago Bulls,2015,90,46,44,0.511,101.62,103.28,-1.66,103.53,107.4,-3.88,0.5129,0.4743,0.4779,0.2784,0.3119,0.153,0.481,46,29,102.0,100.78,44,17,101.23,105.89
Cleveland Cavaliers,2015,110,74,36,0.673,103.78,98.06,5.72,109.73,104.49,5.25,0.5623,0.5286,0.5299,0.2826,0.2863,0.1465,0.5047,56,43,106.23,97.66,54,31,101.24,98.48
Dallas Mavericks,2015,94,43,51,0.457,100.88,102.91,-2.03,94.19,107.92,-13.73,0.4927,0.4472,0.4464,0.3107,0.2367,0.1527,0.5099,46,23,103.13,102.52,48,20,98.73,103.29
Denver Nuggets,2015,89,37,52,0.416,101.74,104.33,-2.58,100.46,97.43,3.0,0.5186,0.4797,0.4797,0.3161,0.2976,0.1719,0.4666,43,20,103.91,105.14,46,17,99.72,103.57
Detroit Pistons,2015,94,47,47,0.5,101.76,101.01,0.74,107.45,106.52,0.95,0.5562,0.522,0.522,0.2815,0.2818,0.1467,0.5028,47,27,104.26,99.94,47,20,99.26,102.09
Golden State Warriors,2015,113,91,22,0.805,112.65,103.99,8.65,108.25,104.99,3.26,0.5598,0.5248,0.5142,0.2938,0.2762,0.1488,0.4934,58,52,113.97,100.67,55,39,111.25,107.49
Houston Rockets,2015,95,45,50,0.474,105.81,106.69,-0.88,98.76,106.77,-8.03,0.4954,0.4598,0.4513,0.3242,0.3392,0.1733,0.5385,47,26,106.3,104.57,48,19,105.33,108.77
Indiana Pacers,2015,96,53,43,0.552,101.56,99.67,1.9,104.22,100.97,3.24,0.5376,0.4839,0.4735,0.3834,0.2675,0.1414,0.4548,48,31,102.21,98.02,48,22,100.92,101.31
Los Angeles Clippers,2015,94,58,36,0.617,103.67,100.15,3.52,98.28,100.25,-2.0,0.514,0.4828,0.4805,0.3047,0.2382,0.1373,0.4738,48,34,104.81,98.17,46,24,102.48,102.22
Los Angeles Lakers,2015,89,19,70,0.213,97.19,106.66,-9.47,101.56,108.57,-7.03,0.5167,0.4649,0.4652,0.3798,0.2808,0.1317,0.4935,48,14,96.6,103.13,41,5,97.88,110.8
Memphis Grizzlies,2015,92,47,45,0.511,97.55,100.05,-2.5,92.0,96.72,-4.69,0.4809,0.4358,0.4297,0.2931,0.3026,0.1963,0.4744,46,29,100.74,100.17,46,18,94.37,99.93
Miami Heat,2015,104,59,45,0.567,99.32,97.6,1.72,101.83,99.88,1.96,0.5273,0.4838,0.4883,0.3071,0.2741,0.1485,0.4527,52,35,102.56,96.75,52,24,96.08,98.44
Milwaukee Bucks,2015,88,35,53,0.398,99.2,103.33,-4.12,102.28,105.48,-3.23,0.5398,0.4962,0.483,0.3712,0.2904,0.1726,0.4818,44,24,100.68,101.98,44,11,97.73,104.68
Minnesota Timberwolves,2015,89,31,58,0.348,101.84,105.92,-4.08,99.63,109.71,-10.09,0.5367,0.4746,0.4262,0.4387,0.2642,0.1842,0.565,45,16,101.49,105.53,44,15,102.2,106.32
New Orleans Pelicans,2015,89,33,56,0.371,102.78,106.56,-3.79,99.91,103.56,-3.64,0.516,0.4521,0.4504,0.363,0.2768,0.1246,0.5066,44,22,105.16,106.14,45,11,100.44,106.98
New York Knicks,2015,87,35,52,0.402,98.31,100.83,-2.52,96.04,94.86,1.16,0.5084,0.4706,0.4583,0.2337,0.193,0.1627,0.452,43,20,98.77,99.91,44,15,97.86,101.73
Oklahoma City Thunder,2015,105,70,35,0.667,109.3,102.3,7.0,110.3,104.5,5.8,0.5551,0.5135,0.5165,0.3124,0.3439,0.1587,0.4839,52,40,109.31,98.75,53,30,109.3,105.79
Orlando Magic,2015,89,40,49,0.449,101.97,103.33,-1.36,102.59,100.44,2.14,0.5177,0.4803,0.4727,0.248,0.304,0.1562,0.4608,45,26,103.91,101.56,44,14,99.98,105.14
Philadelphia 76ers,2015,89,12,77,0.135,97.27,107.4,-10.13,90.3,98.21,-7.9,0.4944,0.4483,0.4483,0.3873,0.2467,0.2031,0.4943,44,9,98.89,108.0,45,3,95.69,106.82
Phoenix Suns,2015,88,27,61,0.307,100.99,106.95,-5.97,99.3,95.9,3.43,0.5178,0.4858,0.4858,0.2423,0.3035,0.172,0.4543,44,16,103.61,105.82,44,11,98.36,108.09
Portland Trail Blazers,2015,100,52,48,0.52,105.05,104.52,0.53,103.97,104.71,-0.74,0.5259,0.4884,0.4892,0.2872,0.2962,0.1481,0.4942,49,34,108.45,102.69,51,18,101.78,106.27
Sacramento Kings,2015,88,38,50,0.432,106.25,108.3,-2.05,99.5,95.9,3.62,0.5327,0.4853,0.4985,0.369,0.292,0.1732,0.483,43,20,106.95,107.86,45,18,105.58,108.71
San Antonio Spurs,2015,98,75,23,0.765,102.79,93.07,9.71,104.7,99.23,5.47,0.5464,0.5044,0.5145,0.2685,0.252,0.1405,0.4704,49,45,104.37,90.76,49,30,101.2,95.39
Toronto Raptors,2015,109,71,38,0.651,100.49,97.5,2.98,101.85,103.7,-1.86,0.5094,0.4637,0.4562,0.3316,0.3129,0.1493,0.5076,56,44,102.93,96.7,53,27,97.91,98.36
Utah Jazz,2015,89,43,46,0.483,97.69,96.0,1.69,98.99,98.4,0.6,0.5223,0.4693,0.4693,0.435,0.2663,0.1654,0.4781,44,25,98.23,93.05,45,18,97.16,98.89
Washington Wizards,2015,88,44,44,0.5,104.39,104.61,-0.23,104.17,101.35,2.85,0.5467,0.501,0.5208,0.3203,0.245,0.174,0.4698,43,23,106.51,103.56,45,21,102.36,105.62
Atlanta Hawks,2016,95,50,45,0.526,102.93,103.31,-0.38,102.99,100.05,2.95,0.5305,0.487,0.4823,0.2755,0.2972,0.165,0.4657,47,27,105.49,104.98,48,23,100.42,101.67
Boston Celtics,2016,107,67,40,0.626,107.35,105.43,1.92,108.2,108.66,-0.46,0.561,0.5279,0.5232,0.2655,0.2651,0.1518,0.5234,54,37,109.24,106.69,53,30,105.42,104.15
Brooklyn Nets,2016,88,21,67,0.239,105.44,112.41,-6.97,96.7,106.52,-9.83,0.5378,0.4902,0.4902,0.3487,0.1923,0.1715,0.5313,44,14,104.3,109.48,44,7,106.59,115.34
Charlotte Hornets,2016,89,39,50,0.438,103.85,104.25,-0.39,91.16,98.0,-6.86,0.4769,0.4174,0.4042,0.3256,0.2676,0.1606,0.4926,44,24,105.82,102.7,45,15,101.93,105.76
Chicago Bulls,2016,95,46,49,0.484,102.57,102.44,0.13,103.14,104.86,-1.71,0.5345,0.4875,0.4647,0.2608,0.3222,0.1682,0.5086,49,27,102.71,101.06,46,19,102.41,103.91
Cleveland Cavaliers,2016,106,66,40,0.623,110.86,107.31,3.55,115.39,110.33,5.06,0.5996,0.5622,0.5622,0.3169,0.2479,0.1398,0.5191,53,39,112.62,105.28,53,27,109.09,109.34
Dallas Mavericks,2016,89,35,54,0.393,97.61,101.0,-3.39,96.23,105.44,-9.23,0.4937,0.4547,0.4443,0.2262,0.2657,0.157,0.5027,44,23,99.41,98.09,45,12,95.84,103.84
Denver Nuggets,2016,90,44,46,0.489,111.06,110.54,0.51,101.54,100.56,0.98,0.5259,0.4753,0.4753,0.3805,0.3187,0.1768,0.4893,43,23,113.91,110.3,47,21,108.45,110.77
Detroit Pistons,2016,88,40,48,0.455,100.84,101.58,-0.74,98.33,94.25,4.08,0.525,0.4885,0.4885,0.2613,0.2795,0.1748,0.4603,44,25,102.2,98.25,44,15,99.48,104.91
Golden State Warriors,2016,106,89,17,0.84,116.23,104.32,11.91,114.85,102.82,12.04,0.6033,0.5625,0.5649,0.313,0.2657,0.1459,0.4866,53,48,118.47,102.04,53,41,113.98,106.6
Houston Rockets,2016,99,65,34,0.657,114.57,109.29,5.27,109.79,107.45,2.34,0.5598,0.5142,0.5142,0.312,0.2846,0.1464,0.4969,50,36,116.26,108.28,49,29,112.84,110.33
Indiana Pacers,2016,92,45,47,0.489,105.39,105.65,-0.26,108.47,109.14,-0.68,0.547,0.5152,0.5152,0.2461,0.2786,0.1341,0.5259,45,31,107.0,101.89,47,14,103.85,109.26
Los Angeles Clippers,2016,95,57,38,0.6,106.81,103.85,2.96,101.2,106.25,-5.03,0.5439,0.5021,0.5025,0.3243,0.2391,0.1637,0.5482,48,32,107.9,100.44,47,25,105.7,107.34
Los Angeles Lakers,2016,90,28,62,0.311,104.69,111.08,-6.39,101.54,103.39,-1.85,0.536,0.5056,0.5017,0.3426,0.2493,0.1559,0.4997,49,19,107.29,108.82,41,9,101.59,113.78
Memphis Grizzlies,2016,94,49,45,0.521,100.65,100.41,0.23,106.02,108.41,-2.41,0.5432,0.4946,0.489,0.3481,0.2455,0.132,0.5257,47,28,99.7,97.43,47,21,101.6,103.4
Miami Heat,2016,90,45,45,0.5,103.29,101.82,1.47,104.73,98.95,5.74,0.5596,0.5345,0.5188,0.2527,0.2388,0.1558,0.4543,46,25,106.5,102.24,44,20,99.93,101.39
Milwaukee Bucks,2016,94,47,47,0.5,102.07,102.69,-0.62,98.9,102.48,-3.59,0.5143,0.4753,0.4728,0.2931,0.2612,0.1668,0.5046,47,26,104.3,101.81,47,21,99.85,103.57
Minnesota Timberwolves,2016,89,36,53,0.404,105.19,105.73,-0.54,98.47,93.11,5.39,0.5217,0.4643,0.4695,0.3152,0.29,0.1702,0.4688,44,23,106.48,102.43,45,13,103.93,108.96
New Orleans Pelicans,2016,88,35,53,0.398,104.42,106.73,-2.31,102.6,107.68,-5.05,0.5492,0.5015,0.5015,0.325,0.2357,0.1555,0.4925,44,22,107.48,107.3,44,13,101.36,106.16
New York Knicks,2016,88,35,53,0.398,104.65,107.94,-3.3,106.95,103.95,3.02,0.5492,0.5208,0.5208,0.2477,0.3135,0.1777,0.5433,44,21,104.84,106.14,44,14,104.45,109.75
Oklahoma City Thunder,2016,91,50,41,0.549,106.31,106.02,0.29,103.21,107.61,-4.39,0.5311,0.497,0.4831,0.2988,0.3009,0.1606,0.4813,46,31,109.09,103.57,45,19,103.47,108.53
Orlando Magic,2016,89,31,58,0.348,100.89,107.53,-6.64,98.2,105.96,-7.76,0.5269,0.4867,0.4867,0.3183,0.2714,0.1914,0.5137,45,18,100.53,103.84,44,13,101.25,111.3
Philadelphia 76ers,2016,89,30,59,0.337,101.97,108.06,-6.09,93.49,103.11,-9.63,0.5051,0.4427,0.4427,0.3539,0.26,0.2003,0.5071,44,18,101.93,105.8,45,12,102.0,110.27
Phoenix Suns,2016,88,28,60,0.318,107.41,112.6,-5.19,97.82,96.55,1.27,0.5027,0.446,0.4362,0.4312,0.32,0.1862,0.4708,44,17,109.07,111.05,44,11,105.75,114.16
Portland Trail Blazers,2016,92,44,48,0.478,107.28,108.63,-1.35,100.61,108.4,-7.81,0.5235,0.4806,0.4806,0.2771,0.2591,0.1592,0.5148,45,26,109.67,107.67,47,18,105.0,109.55
Sacramento Kings,2016,87,34,53,0.391,102.75,106.56,-3.82,101.46,103.48,-2.04,0.5784,0.5346,0.576,0.3977,0.2457,0.214,0.529,43,18,105.12,106.84,44,16,100.43,106.3
San Antonio Spurs,2016,104,73,31,0.702,105.12,99.07,6.06,109.3,106.56,2.75,0.5485,0.5069,0.5002,0.2638,0.3082,0.1487,0.5158,52,38,106.21,98.83,52,35,104.04,99.31
Toronto Raptors,2016,98,58,40,0.592,105.45,102.56,2.89,103.39,107.31,-3.92,0.5393,0.4914,0.475,0.2952,0.2576,0.1413,0.5295,48,31,109.44,103.04,50,27,101.62,102.1
Utah Jazz,2016,98,58,40,0.592,100.33,97.28,3.05,103.94,105.7,-1.77,0.5541,0.5116,0.5042,0.3477,0.2317,0.1482,0.5043,49,31,100.69,95.8,49,27,99.96,98.76
Washington Wizards,2016,102,60,42,0.588,108.82,106.87,1.95,107.91,105.67,2.24,0.5442,0.5046,0.5118,0.2769,0.2936,0.1366,0.5126,50,38,109.92,103.62,52,22,107.77,110.0
Atlanta Hawks,2017,87,26,61,0.299,102.93,108.23,-5.3,91.06,94.86,-3.84,0.5176,0.4714,0.4714,0.3064,0.1974,0.181,0.5232,43,17,104.4,108.3,44,9,101.5,108.16
Boston Celtics,2017,105,70,35,0.667,103.62,100.27,3.35,106.09,103.64,2.44,0.5403,0.5001,0.5001,0.2793,0.249,0.1251,0.5153,54,39,105.39,99.33,51,31,101.75,101.25
Brooklyn Nets,2017,86,31,55,0.36,106.91,109.99,-3.08,99.67,90.55,9.13,0.5683,0.5335,0.5335,0.306,0.216,0.1715,0.454,44,17,106.32,108.43,42,14,107.52,111.62
Charlotte Hornets,2017,87,38,49,0.437,107.84,107.63,0.21,98.36,99.3,-0.96,0.5262,0.4936,0.4936,0.2736,0.256,0.1638,0.528,43,22,109.72,107.72,44,16,106.0,107.55
Chicago Bulls,2017,88,30,58,0.341,102.78,109.91,-7.12,95.0,101.58,-6.58,0.5455,0.5227,0.5227,0.226,0.1802,0.1708,0.5398,44,18,103.39,108.14,44,12,102.18,111.68
Cleveland Cavaliers,2017,109,63,46,0.578,108.37,108.33,0.04,105.55,108.96,-3.41,0.5479,0.5116,0.5116,0.281,0.2666,0.1471,0.5289,55,37,109.05,108.0,54,26,107.67,108.67
Dallas Mavericks,2017,88,28,60,0.318,102.34,104.85,-2.51,99.63,95.4,4.25,0.546,0.524,0.524,0.2382,0.2092,0.1633,0.5052,44,18,104.09,102.98,44,10,100.59,106.73
Denver Nuggets,2017,86,48,38,0.558,109.78,108.47,1.31,96.22,99.4,-3.17,0.5363,0.5018,0.5018,0.2782,0.2303,0.1623,0.5583,42,31,111.0,105.4,44,17,108.61,111.39
Detroit Pistons,2017,87,41,46,0.471,103.75,103.87,-0.13,102.24,102.72,-0.44,0.5398,0.5112,0.5112,0.221,0.2516,0.1326,0.5374,44,27,105.8,102.27,43,14,101.65,105.51
Golden State Warriors,2017,106,76,30,0.717,112.99,106.13,6.86,112.58,102.4,10.18,0.5856,0.552,0.552,0.2415,0.2626,0.1363,0.486,54,40,113.22,104.31,52,36,112.75,108.02
Houston Rockets,2017,103,79,24,0.767,110.83,103.49,7.35,107.19,104.48,2.71,0.5593,0.5221,0.5221,0.263,0.2393,0.1362,0.5221,52,41,112.85,104.44,51,38,108.78,102.51
Indiana Pacers,2017,92,53,39,0.576,105.08,103.28,1.79,107.82,101.84,5.98,0.5647,0.5376,0.5376,0.2401,0.2403,0.1453,0.5031,44,29,106.75,103.23,48,24,103.54,103.33
Los Angeles Clippers,2017,87,44,43,0.506,108.76,108.86,-0.1,94.08,95.48,-1.4,0.5682,0.517,0.517,0.4216,0.1724,0.1958,0.5234,45,24,109.11,108.27,42,20,108.38,109.5
Los Angeles Lakers,2017,87,37,50,0.425,107.56,109.22,-1.66,90.18,92.22,-2.02,0.5412,0.5058,0.5058,0.313,0.188,0.1852,0.5004,45,21,105.89,105.62,42,16,109.36,113.07
Memphis Grizzlies,2017,87,25,62,0.287,99.61,104.93,-5.32,95.48,87.62,7.86,0.5282,0.4854,0.4854,0.3386,0.2294,0.1636,0.458,44,18,100.73,102.43,43,7,98.47,107.49
Miami Heat,2017,93,48,45,0.516,103.14,103.68,-0.54,96.48,104.01,-7.52,0.5304,0.4978,0.4978,0.3335,0.2218,0.1647,0.5021,46,29,104.83,103.28,47,19,101.49,104.06
Milwaukee Bucks,2017,93,48,45,0.516,105.83,106.45,-0.62,104.49,106.71,-2.24,0.5772,0.5491,0.5491,0.2538,0.1889,0.1515,0.5121,46,29,106.26,104.89,47,19,105.4,107.98
Minnesota Timberwolves,2017,89,49,40,0.551,109.09,107.71,1.38,106.1,113.99,-7.87,0.5576,0.5136,0.5136,0.3173,0.25,0.1514,0.5563,44,31,111.36,106.86,45,18,106.87,108.53
New Orleans Pelicans,2017,95,54,41,0.568,111.16,110.56,0.6,102.43,106.36,-3.93,0.557,0.5197,0.5197,0.2562,0.1998,0.1468,0.5278,46,27,113.41,111.8,49,27,109.04,109.39
New York Knicks,2017,87,29,58,0.333,104.07,108.29,-4.22,92.24,106.14,-13.9,0.519,0.4762,0.4762,0.2604,0.2096,0.1932,0.5828,44,19,106.45,106.3,43,10,101.63,110.33
Oklahoma City Thunder,2017,91,52,39,0.571,107.1,104.15,2.95,99.61,100.96,-1.34,0.5347,0.5,0.5,0.2648,0.2417,0.1601,0.5067,46,30,108.37,103.26,45,22,105.8,105.07
Orlando Magic,2017,88,28,60,0.318,103.1,107.44,-4.34,95.22,92.93,2.33,0.5172,0.4917,0.4917,0.2193,0.204,0.1557,0.466,44,19,103.73,106.64,44,9,102.48,108.25
Philadelphia 76ers,2017,97,59,38,0.608,109.6,105.42,4.18,104.77,102.13,2.66,0.5412,0.5011,0.5011,0.318,0.2767,0.151,0.501,49,34,110.69,103.16,48,25,108.48,107.73
Phoenix Suns,2017,86,22,64,0.256,104.0,113.34,-9.34,94.85,102.47,-7.63,0.5595,0.5,0.5,0.4595,0.2028,0.189,0.4957,43,10,103.16,113.6,43,12,104.84,113.07
Portland Trail Blazers,2017,91,53,38,0.582,105.99,103.45,2.54,104.04,102.41,1.61,0.5448,0.5084,0.5084,0.2572,0.2593,0.1444,0.5208,45,29,106.53,102.51,46,24,105.46,104.37
Sacramento Kings,2017,88,28,60,0.318,98.27,105.44,-7.17,91.98,101.75,-9.78,0.5085,0.4755,0.4755,0.2017,0.2333,0.1733,0.5307,43,15,100.4,105.51,45,13,96.24,105.38
San Antonio Spurs,2017,92,51,41,0.554,102.64,100.15,2.49,104.07,104.47,-0.42,0.5611,0.5183,0.5183,0.257,0.237,0.1446,0.5132,46,36,105.61,98.24,46,15,99.67,102.07
Toronto Raptors,2017,97,66,31,0.68,111.09,104.64,6.45,108.07,109.52,-1.44,0.5803,0.5376,0.5376,0.3093,0.2447,0.1579,0.5335,48,39,112.71,102.96,49,27,109.51,106.29
Utah Jazz,2017,96,56,40,0.583,104.2,100.41,3.79,103.54,103.04,0.5,0.5516,0.5199,0.5199,0.2839,0.2567,0.159,0.5079,47,32,104.21,97.21,49,24,104.18,103.47
Washington Wizards,2017,92,48,44,0.522,106.7,106.12,0.58,106.83,106.17,0.64,0.5644,0.5218,0.5218,0.2762,0.2626,0.1521,0.538,46,27,108.13,104.65,46,21,105.26,107.59
