team_clean,seasons_covered,avg_win_pct,avg_point_differential,avg_off_rating,avg_def_rating,avg_net_rating,avg_true_shooting_pct,avg_effective_fg_pct,avg_team_efg_pct,avg_turnover_pct,avg_opp_efg_pct
Boston Celtics,16,0.601,3.87,106.59,103.45,3.13,0.551,0.5103,0.5104,0.1559,0.4909
Oklahoma City Thunder,16,0.596,3.09,105.76,105.48,0.29,0.5485,0.5067,0.5049,0.1528,0.5006
Golden State Warriors,16,0.59,3.09,107.82,104.72,3.11,0.5616,0.5244,0.5211,0.1618,0.5018
Miami Heat,16,0.573,2.1,106.35,105.74,0.61,0.5581,0.5195,0.5174,0.155,0.5105
Los Angeles Clippers,16,0.573,2.46,104.27,107.03,-2.77,0.5484,0.5088,0.5066,0.1587,0.5179
Denver Nuggets,16,0.567,1.92,105.85,105.98,-0.12,0.5451,0.5049,0.5042,0.1559,0.509
San Antonio Spurs,16,0.567,2.16,105.91,105.56,0.34,0.5486,0.5102,0.5092,0.1495,0.5088
Houston Rockets,16,0.54,1.39,107.44,104.32,3.12,0.5517,0.5126,0.5112,0.1635,0.502
Milwaukee Bucks,16,0.524,0.87,103.43,105.96,-2.53,0.5426,0.5072,0.5073,0.1608,0.5055
Toronto Raptors,16,0.52,0.97,104.87,103.24,1.62,0.5451,0.5027,0.5014,0.1661,0.5041
Memphis Grizzlies,16,0.517,0.09,102.57,104.69,-2.12,0.5288,0.4842,0.482,0.1574,0.5075
Indiana Pacers,16,0.508,0.32,105.07,105.77,-0.7,0.5436,0.5046,0.5028,0.1586,0.5034
Dallas Mavericks,16,0.506,0.52,104.21,105.03,-0.84,0.544,0.5045,0.5026,0.1557,0.5114
Chicago Bulls,16,0.499,-0.47,102.7,103.31,-0.61,0.5295,0.4924,0.4905,0.1594,0.496
Utah Jazz,16,0.489,-0.06,104.15,106.06,-1.91,0.5476,0.5047,0.5033,0.1712,0.5143
Atlanta Hawks,16,0.487,-0.87,101.25,104.54,-3.29,0.5316,0.4921,0.4902,0.1628,0.5073
Portland Trail Blazers,16,0.478,-1.27,103.91,107.14,-3.24,0.5443,0.5007,0.5004,0.1685,0.5132
Cleveland Cavaliers,16,0.478,-0.99,103.27,105.24,-1.98,0.5407,0.4981,0.4964,0.171,0.5054
Los Angeles Lakers,16,0.477,-1.43,101.55,106.18,-4.63,0.5386,0.4966,0.4952,0.1646,0.5116
Philadelphia 76ers,16,0.471,-1.01,103.43,104.0,-0.57,0.5372,0.4932,0.4908,0.1653,0.5018
Phoenix Suns,16,0.466,-1.44,103.26,105.32,-2.05,0.544,0.5027,0.5022,0.1709,0.5068
New York Knicks,16,0.466,-0.68,103.15,104.61,-1.45,0.5301,0.4888,0.4897,0.1577,0.5126
Minnesota Timberwolves,16,0.442,-0.75,104.64,104.0,0.65,0.5479,0.4986,0.4938,0.1648,0.5086
New Orleans Pelicans,16,0.433,-1.65,104.01,105.1,-1.08,0.5431,0.5004,0.4971,0.16,0.5104
Orlando Magic,16,0.419,-2.56,100.97,102.95,-1.97,0.5264,0.491,0.4896,0.1674,0.4927
Brooklyn Nets,16,0.419,-2.75,102.81,104.69,-1.88,0.5505,0.5097,0.5084,0.1756,0.5017
Sacramento Kings,16,0.401,-3.26,102.37,104.1,-1.72,0.5381,0.4961,0.4986,0.1704,0.5141
Washington Wizards,16,0.4,-3.46,102.16,105.08,-2.92,0.5302,0.4888,0.4898,0.1597,0.5077
Detroit Pistons,16,0.395,-2.59,101.1,102.77,-1.66,0.5351,0.4934,0.4937,0.1734,0.5015
Charlotte Hornets,16,0.39,-3.74,98.7,103.01,-4.32,0.5216,0.4779,0.4766,0.1707,0.5